Species,Species_gbif,Sample Number,Code,Collected,Ethanol,Dried,Scanned,Dried-2,Weighed,Weight_g,Stained,Mounted,mycorrhizal_colonization,coll_location,hair_length_raw,hair_density_raw,hair_factor
Onoclea sensibilis,Onoclea sensibilis,6,ono_sen_6,yes,yes,yes,yes,yes,yes,0.0144,yes,yes,27,field,54,13,702
Onoclea sensibilis,Onoclea sensibilis,7,ono_sen_7,yes,yes,yes,yes,yes,yes,0.0171,yes,yes,62,field,91,10,910
Panicum virgatum,Panicum virgatum,1,pan_vir_1,yes,yes,yes,yes,yes,yes,0.0048,yes,yes,57,field,0,0,0
Panicum virgatum,Panicum virgatum,2,pan_vir_2,yes,yes,yes,yes,yes,yes,0.0402,yes,yes,68,field,0,0,0
Panicum virgatum,Panicum virgatum,3,pan_vir_3,yes,yes,yes,yes,yes,yes,0.0099,yes,yes,61,field,0,0,0
Panicum virgatum,Panicum virgatum,4,pan_vir_4,yes,yes,yes,yes,yes,yes,0.0084,yes,yes,40,field,0,0,0
Panicum virgatum,Panicum virgatum,5,pan_vir_5,yes,yes,yes,yes,yes,yes,0.0093,yes,yes,26,field,0,0,0
Panicum virgatum,Panicum virgatum,6,pan_vir_6,yes,yes,yes,yes,yes,yes,0.0061,yes,yes,82,field,17,3,51
Panicum virgatum,Panicum virgatum,7,pan_vir_7,yes,yes,yes,yes,yes,yes,0.0113,yes,yes,32,field,20,4,80
Petunia axillaris,Petunia axillaris,1,pet_axi_1,yes,yes,yes,yes,yes,yes,0.0037,yes,yes,52,field,87,13,1131
Petunia axillaris,Petunia axillaris,2,pet_axi_2,yes,yes,yes,yes,yes,yes,0.0045,yes,yes,44,field,65,14,910
Petunia axillaris,Petunia axillaris,3,pet_axi_3,yes,yes,yes,yes,yes,yes,0.0029,yes,yes,58,field,77,18,1386
Petunia axillaris,Petunia axillaris,4,pet_axi_4,yes,yes,yes,yes,yes,yes,0.0069,yes,yes,33,field,88,16,1408
